t,purity,fidelity
0.0,1.0,1.0
0.20408163265306122,0.9642024070705733,0.9816597752263859
0.4081632653061224,0.9365271602590103,0.9691244868359458
0.6122448979591837,0.9146908688735156,0.959651731041138
0.8163265306122449,0.8970412441998415,0.9522797649822135
1.0204081632653061,0.8825628379660488,0.9462468466855547
1.2244897959183674,0.8704874789445651,0.9410062723260711
1.4285714285714286,0.8602425544059846,0.9361610005717023
1.6326530612244898,0.8513843895397974,0.9314232593965701
1.836734693877551,0.8435653809003675,0.9265909762026536
2.0408163265306123,0.8365104305048919,0.9215160721971719
2.2448979591836737,0.8300008513174485,0.9160925068377227
2.4489795918367347,0.8238606243819263,0.9102466987354734
2.6530612244897958,0.8179485220122618,0.9039278206537007
2.857142857142857,0.8121516084721133,0.8971081927638015
3.0612244897959187,0.8063797136082442,0.8897752599876352
3.2653061224489793,0.8005596151990752,0.8819253886290817
3.469387755102041,0.7946308739972051,0.8735600973293976
3.673469387755102,0.7885422254289021,0.8646829462511913
3.877551020408163,0.7822502231019457,0.8552974421674402
4.081632653061225,0.7757172662403793,0.8454060864490103
4.285714285714286,0.7689107653985199,0.8350103833641304
4.4897959183673475,0.7618015378086404,0.8241108746037067
4.6938775510204085,0.7543633634003534,0.8127071539343352
4.8979591836734695,0.7465716848660964,0.8007978916825241
5.102040816326531,0.7384043033325139,0.788380857117462
5.3061224489795915,0.729840124610115,0.7754529416157717
5.510204081632653,0.7208589866194826,0.7620101816067751
5.714285714285714,0.7114415289768174,0.7480477822430352
5.918367346938775,0.7015689976653468,0.7335601417672204
6.122448979591837,0.6912230582210343,0.7185408755128757
6.326530612244898,0.6803856322948206,0.7030028382567696
6.530612244897959,0.6690387258030696,0.6869481477818643
6.73469387755102,0.6571643014732491,0.670378218226892
6.938775510204081,0.6447442378839544,0.6532937811627211
7.142857142857143,0.631760275202805,0.6356949083583758
7.346938775510204,0.6181939754808269,0.6175800321629514
7.551020408163265,0.6040266993992133,0.5989469752376671
7.755102040816327,0.5892395694826261,0.5797929696890463
7.959183673469388,0.5738133485745657,0.5601146863527064
8.16326530612245,0.5577285204445236,0.5399083660265649
8.36734693877551,0.5409652744612257,0.5191698515642729
8.571428571428571,0.5235034911947221,0.4978946306177648
8.775510204081632,0.5053227318870804,0.4760788900382311
8.979591836734695,0.4864022306135234,0.4537185709775008
9.183673469387755,0.4667208871475943,0.4308094144007763
9.387755102040817,0.4462572532448008,0.4073470047270942
9.591836734693878,0.4250099546059065,0.3833270038466251
9.795918367346939,0.4029872582258486,0.3587451045849409
10.0,0.38020184542381904,0.3335970835725575
